"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"fig|6666666.77655.peg.1109",43.1131504487793,-0.451314675302459,0.411341667586663,-1.09717714218041,0.272563963233297,0.53507314716977
"fig|6666666.77655.peg.111",170.158566978744,2.55250099688894,0.278919456181532,9.15139098517267,5.6205111619558e-20,6.70981975382056e-18
"fig|6666666.77655.peg.1110",2995.04396211588,-0.494776881144278,0.181257220220159,-2.72969474288147,0.00633929947457187,0.0365347673166706
"fig|6666666.77655.peg.1111",596.022946732351,-1.00920327922455,0.208978365106314,-4.8292237271123,1.37066339471397e-06,2.52665671363818e-05
"fig|6666666.77655.peg.1112",108.212738999512,-1.91045801687359,0.316600109183482,-6.034293613482,1.59659538590053e-09,4.8812983322593e-08
"fig|6666666.77655.peg.1113",232.075605161268,-0.749576541552967,0.246399825917255,-3.04211473673965,0.00234922329632959,0.0159607122056864
"fig|6666666.77655.peg.1114",606.246007374048,-0.40911646501067,0.201050262663268,-2.03489644624779,0.0418612936608785,0.151001817565212
"fig|6666666.77655.peg.1115",147.923659363539,0.582706734431431,0.275852985265894,2.11238146967944,0.0346537430792705,0.132031814437282
"fig|6666666.77655.peg.1116",50.5117792927286,-0.321359605056148,0.37948158333299,-0.846838474303927,0.397085159897516,0.666326971795899
"fig|6666666.77655.peg.1117",5.51909027313891,-0.465459256180359,0.671031019852226,-0.693647897652872,0.48790304809088,0.735408175271401
"fig|6666666.77655.peg.1118",18.4280939592766,0.0282888425075833,0.529504227021237,0.0534251495341674,0.95739316739277,0.988951244603904
"fig|6666666.77655.peg.1119",147.648521854909,-0.277317344096628,0.280238472455651,-0.98957627647116,0.322381270344798,0.587576427664631
"fig|6666666.77655.peg.112",2.13083178777,0.848913653320736,0.638034407478752,1.33051390860768,0.183349006845087,NA
"fig|6666666.77655.peg.1120",315.204987739109,-0.0321902575090795,0.235199396136804,-0.136863691139564,0.89113853898026,0.96508850238593
"fig|6666666.77655.peg.1121",64.7832004419573,-0.159524677466399,0.351143885186225,-0.454300029692377,0.649612894702053,0.846472836451435
"fig|6666666.77655.peg.1122",80.1329997490405,-0.497415876531278,0.3320152281333,-1.49817187400685,0.134088601114088,0.341258282509101
"fig|6666666.77655.peg.1123",88.0733012454522,-1.80546636854936,0.340852272033199,-5.29691751144763,1.17773865185081e-07,2.61291221255752e-06
"fig|6666666.77655.peg.1124",162.432780605623,-1.86473158110712,0.277124561508037,-6.72885712821611,1.71000854230146e-11,7.14498569258293e-10
"fig|6666666.77655.peg.1125",389.389090178184,-2.33218406716106,0.247347101802106,-9.428790756671,4.14843805726282e-21,5.47375484713573e-19
"fig|6666666.77655.peg.1126",84.9865566270935,-1.93117984577575,0.353766235029226,-5.45891510990643,4.79052722006228e-08,1.13300488119775e-06
"fig|6666666.77655.peg.1127",13.9943056246524,-1.63096639458888,0.590983691337154,-2.75974856581688,0.00578458629840505,0.033725483372329
"fig|6666666.77655.peg.1128",73.7328896881492,-0.253499294361927,0.333930746370586,-0.759137327476283,0.447770411914001,0.70824001430183
"fig|6666666.77655.peg.1129",49.2587387014117,-1.54974739363062,0.404198659272931,-3.83412304340221,0.000126013055623137,0.00141665798406818
"fig|6666666.77655.peg.113",3.77565677851188,0.353731734270493,0.676612124283628,0.522798397449662,0.601114554939311,0.815707741047287
"fig|6666666.77655.peg.1130",0,NA,NA,NA,NA,NA
"fig|6666666.77655.peg.1131",175.720083886115,-0.302983792056951,0.2595112584816,-1.16751694639265,0.243001668739939,0.497035705464034
"fig|6666666.77655.peg.1132",1413.24748379062,-0.00556849136492461,0.201197692755561,-0.0276767158144794,0.97791999467676,0.995794243157855
"fig|6666666.77655.peg.1133",386.314029227885,-1.36122935837458,0.261262777692272,-5.21019247517109,1.88644823366617e-07,4.11245714939225e-06
"fig|6666666.77655.peg.1134",175.815798808803,-0.595209553364609,0.279074954210541,-2.13279459293781,0.0329415800126847,0.127248907691526
"fig|6666666.77655.peg.1135",348.244966075741,-0.630516646674053,0.225666346370552,-2.79402160231159,0.00520570010596267,0.0310730718229724
"fig|6666666.77655.peg.1136",759.462922305271,0.886902451754372,0.226935085010389,3.90817687672125,9.29952157277183e-05,0.00106456167045383
"fig|6666666.77655.peg.1137",162.924721252503,1.80897509670713,0.329694960281814,5.48681452443456,4.09246431614817e-08,9.86520003902255e-07
"fig|6666666.77655.peg.1138",190.651657118469,-0.827973150451342,0.26245123321717,-3.15476951775731,0.00160624942491465,0.0117421330429427
"fig|6666666.77655.peg.1139",248.275649842847,-0.860629183922981,0.267514365955743,-3.21713258593882,0.00129478748107292,0.00983646125772667
"fig|6666666.77655.peg.114",34.4077372075221,-0.777880749312555,0.440785901518299,-1.76475868813663,0.0776043304540215,0.231336571282083
"fig|6666666.77655.peg.1140",245.000261523184,-0.543302246660097,0.23940419602285,-2.26939316722854,0.0232444273345123,0.0991050668837115
"fig|6666666.77655.peg.1141",269.655560675808,-0.292954857994033,0.23883940255479,-1.22657674931518,0.219981712477456,0.462473524577327
"fig|6666666.77655.peg.1142",47.4952012251473,-0.136239714786828,0.400644435290756,-0.340051434105047,0.733817794562767,0.888305751312823
"fig|6666666.77655.peg.1143",913.06219757411,-0.116287716134332,0.195791154613646,-0.593937536983233,0.552553891557667,0.782186677659554
"fig|6666666.77655.peg.1144",246.634860100475,0.00162525155564245,0.236182569481124,0.00688133573621884,0.994509531789894,0.998892386296981
"fig|6666666.77655.peg.1145",31.2760976555647,-0.214706107552072,0.446132643236062,-0.481260698600045,0.63033122572655,0.834983882999618
"fig|6666666.77655.peg.1146",71.258702553672,0.0782540320288403,0.342910402753282,0.228205477000774,0.819486503743561,0.932714085875783
"fig|6666666.77655.peg.1147",1486.87942058991,-0.470004154061151,0.212508189340776,-2.2116990197844,0.0269874682848705,0.110627780433385
"fig|6666666.77655.peg.1148",148.756462957181,-0.104426851658956,0.283191681629965,-0.368749714179127,0.712314289429889,0.876237450245697
"fig|6666666.77655.peg.1149",1412.04758663029,0.0679352644420204,0.192400051539378,0.353093795445873,0.724018124217045,0.883266879519286
"fig|6666666.77655.peg.115",272.645965142476,0.211259828943903,0.233273302732172,0.905632262541664,0.365130526460708,0.629994652331036
"fig|6666666.77655.peg.1150",228.153065708312,0.780879929338744,0.272269549106773,2.86803989612704,0.00413023447761284,0.0257574573019288
"fig|6666666.77655.peg.1151",42.366091922854,0.244094349112014,0.404696009663113,0.603154820615129,0.54640569996389,0.775849451343711
"fig|6666666.77655.peg.1152",621.901038984774,-0.330322765428843,0.211084446966912,-1.56488443452502,0.117610009041901,0.314002441606013
"fig|6666666.77655.peg.1153",92.8361749026587,-0.412799895340997,0.318637817349142,-1.29551444575921,0.19514282130889,0.433708380338109
"fig|6666666.77655.peg.1154",50.4917657531247,-0.15821549283608,0.378507995567249,-0.417997756160927,0.675948757781779,0.857844809024805
"fig|6666666.77655.peg.1155",2015.55452348653,-0.596131579316469,0.194675562479245,-3.06217982228778,0.00219731406567862,0.0150510009908642
"fig|6666666.77655.peg.1156",52.9946885902406,-0.565927134274249,0.379388309201598,-1.49168311344441,0.13578223804004,0.343930587588528
"fig|6666666.77655.peg.1157",645.429890366977,0.473419662135555,0.202760463736496,2.33487166783561,0.0195501258337764,0.0869743918055014
"fig|6666666.77655.peg.1158",66.4418317864055,0.000944896955483455,0.35922644182827,0.0026303658235024,0.997901274140284,0.99946767816432
"fig|6666666.77655.peg.1159",102.30695948953,-0.443530584820646,0.334943000726655,-1.32419720328059,0.185437559447357,0.421107966101215
"fig|6666666.77655.peg.116",916.490586079931,6.94222599584526,0.311178623434107,22.3094566048021,2.99107251342789e-110,7.49861879116373e-107
"fig|6666666.77655.peg.1160",179.403962192001,0.860446631468935,0.257519280323837,3.34129013713809,0.000833900314991719,0.00703901713698397
"fig|6666666.77655.peg.1161",97.8548053493138,-0.281620733481703,0.304566756650547,-0.924660119110858,0.355142730327121,0.619207163299025
"fig|6666666.77655.peg.1162",9.6116868362796,0.35094801083579,0.620882291482563,0.565240812389389,0.571909980542661,0.794999853975281
"fig|6666666.77655.peg.1163",23.8908388029645,-0.228496886211558,0.4861096833689,-0.470052117925319,0.638317782335532,0.838712096601247
"fig|6666666.77655.peg.1164",164.225741829463,-0.857986688631148,0.266318828163126,-3.22165238766225,0.00127453664598432,0.00971204672183189
"fig|6666666.77655.peg.1165",91.3968717190794,-0.25082446198619,0.321152693515121,-0.781013103894085,0.434794787681457,0.698826260602867
"fig|6666666.77655.peg.1166",152.417895576775,-0.875089848071703,0.274196680294038,-3.19146769805268,0.00141551938077379,0.0106418234967463
"fig|6666666.77655.peg.1167",44.473272198657,0.308744276675466,0.404725641971808,0.762848321572303,0.445553859199932,0.70562446305384
"fig|6666666.77655.peg.1168",6061.6292280217,-1.0828223378996,0.214542273051757,-5.04712811371385,4.48500621738571e-07,9.14139072112681e-06
"fig|6666666.77655.peg.1169",400.126178466323,-0.127427977302491,0.21651729495388,-0.588534866601,0.55617333793499,0.785093782771971
"fig|6666666.77655.peg.117",176.135484144604,1.68747870581922,0.275435533918995,6.12658316742642,8.9786284543057e-10,2.92330149804472e-08
"fig|6666666.77655.peg.1170",4.68823522189136,0.882096309243232,0.675375318934511,1.30608312817064,0.19152428986622,0.42908971822575
"fig|6666666.77655.peg.1171",6.17626919029768,-0.344895905932307,0.661586298426343,-0.52131657918654,0.602146253425812,0.815707741047287
"fig|6666666.77655.peg.1172",3.27913491766406,0.00048286877177459,0.674627070844464,0.000715756590037454,0.999428908916279,0.999827723325263
"fig|6666666.77655.peg.1173",400.769939843593,0.231021827723473,0.215270499303756,1.07316993489893,0.283194877493168,0.546130429134902
"fig|6666666.77655.peg.1174",141.054236576506,0.0841838624954983,0.272994507726887,0.308372000581486,0.757799284831313,0.901230144200772
"fig|6666666.77655.peg.1175",157.628671489587,0.0103608367597506,0.267427504525275,0.0387425997118086,0.969095609229847,0.992499970811552
"fig|6666666.77655.peg.1176",136.562592697998,-0.14108088903943,0.298520804875019,-0.472599854802401,0.636498686088497,0.837638953293365
